"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"paula'schoiceskinperfecting2%bha","bha","aha","accutane","aloe","aquafor","argan","azelaicacid","aztecsecretclaymask","benzoylperoxide","bp"
"pixiglowtonic","aha","bha","rosehip","rosehipseed","cetaphil","aloe","ceravehydratingcleanser","vitaminc","theordinaryniacinamide10%","salicylicacid"
"purealoe","aloe","accutane","bp","hadalabo","hyaluronicacid","aha","aquafor","argan","azelaicacid","aztecsecretclaymask"
"retin-a","stridexmaximumstrength","tretinoin","tret","hyaluronicacid","aha","bha","vaseline","hadalabo","niacinamide","tretinoincream"
"retinol","vitaminc","bha","aha","niacinamide","hyaluronicacid","tret","tretinoin","salicylicacid","bp","vitamine"
"rosehip","rosehipseed","argan","theordinarycaffeinesolution","aha","bha","niacinamide","theordinaryniacinamide10%","jojoba","vitaminc","hyaluronicacid"
"rosehipseed","rosehip","argan","theordinarycaffeinesolution","toglycolicacidtoner","ceravefoamingcleanser","pixiglowtonic","theordinaryniacinamide10%","ceraveinthetub","aloe","hyaluronicacid"
"salicylicacid","bha","aha","niacinamide","differin","aloe","ceravepm","bp","vitaminc","retinol","tretinoin"
"sandalwood","accutane","aha","aloe","aquafor","argan","azelaicacid","aztecsecretclaymask","benzoylperoxide","bha","bp"
"simplemicellarwater","topeelingsolution","toglycolicacidtoner","ceravehydratingcleanser","garniermicellarwater","toniacinamide","argan","niacinamide","hadalabo","ceravepm","ceravemoisturizingcream"
"squalane","vitaminc","hyaluronicacid","hadalabo","niacinamide","salicylicacid","theordinarygranactiveretinoid2%","ceravemoisturizingcream","azelaicacid","bha","ceravepm"
"stratialiquidgold","grapeseed","hadalabo","ceravepm","vitamine","benzoylperoxide","hyaluronicacid","vitaminc","tretinoin","bp","differin"
"stridexmaximumstrength","retin-a","mariobadescudryinglotion","ceravefoamingfacialcleanser","hyaluronicacid","vitaminc","bha","hadalabo","vitamine","aha","squalane"
"teatree","aloe","toniacinamide","aha","grapeseed","vitaminc","bha","lavender","rosehipseed","rosehip","vaseline"
"thayerswitchhazelrosepetal","ceravehydratingcleanser","ceravemoisturizingcream","vitamine","benzoylperoxide","squalane","bha","accutane","aha","aloe","aquafor"
"theordinarycaffeinesolution","cetaphildailyhydratinglotionw/hyaluronicacid","laroche-posaytolerianehydratinggentlefacecleanser","neutrogenaclearfacesunscreenlotion55","uncleharry'sclaymaskbar","aquafor","mariobadescudryinglotion","hyaluronicacid","theordinaryniacinamide10%","rosehip","rosehipseed"
"theordinarygranactiveretinoid2%","theordinaryniacinamide10%","hyaluronicacid","cetaphil","squalane","niacinamide","accutane","aha","aloe","aquafor","argan"
"theordinaryniacinamide10%","cetaphildailyfacialcleanser","theordinarygranactiveretinoid2%","toglycolicacidtoner","niacinamide","theordinarycaffeinesolution","rosehip","vitamine","rosehipseed","bha","hadalabo"
"toglycolicacidtoner","topeelingsolution","theordinaryniacinamide10%","toniacinamide","simplemicellarwater","ceravehydratingcleanser","rosehipseed","ceravemoisturizingcream","vitamine","niacinamide","teatree"
"toniacinamide","niacinamide","aztecsecretclaymask","toniacinamide+zinc","toglycolicacidtoner","bha","aha","teatree","topeelingsolution","ceravepm","rosehip"
"toniacinamide+zinc","toniacinamide+zinc","ceravefoamingfacialcleanser","toniacinamide","niacinamide","bha","aha","accutane","aloe","aquafor","argan"
"topeelingsolution","toglycolicacidtoner","simplemicellarwater","rosehip","toniacinamide","ceravehydratingcleanser","ceravepm","hadalabo","aha","azelaicacid","salicylicacid"
"tret","tretinoin","vitaminc","tretinoincream","aha","benzoylperoxide","differin","niacinamide","bp","bha","azelaicacid"
"tretinoin","tret","tretinoincream","benzoylperoxide","vitaminc","differin","aha","niacinamide","bha","bp","retin-a"
"tretinoincream","tretinoin","tret","ceravefoamingfacialcleanser","retin-a","ceravehydratingcleanser","ceravepm","accutane","aha","aloe","aquafor"
"uncleharry'sclaymaskbar","laroche-posaytolerianehydratinggentlefacecleanser","neutrogenaclearfacesunscreenlotion55","uncleharry'sclaymaskbar","aquafor","theordinarycaffeinesolution","mariobadescudryinglotion","argan","hyaluronicacid","cetaphil","rosehip"
"vaseline","bp","cetaphil","tret","aha","rosehip","tretinoin","differin","retin-a","argan","teatree"
"vitamina","aha","bha","tretinoin","retinol","cetaphil","retin-a","rosehip","vitaminc","vitamine","tret"
"vitaminc","niacinamide","bha","aha","retinol","tret","tretinoin","hadalabo","azelaicacid","aloe","hyaluronicacid"
"vitamine","theordinaryniacinamide10%","vitaminc","stratialiquidgold","retinol","toglycolicacidtoner","differin","hadalabo","rosehip","aha","theordinarycaffeinesolution"
